Q2: Please tell a story about a time when a person or an organization tried to help someone or change something in your community.,Q3: Give your story a title.,Q4: Name the organization or group most involved in what happened.,Q5: What is this story about?,Q7: Where did this story take place? (city or district),Q12: What is your connection to what happened in the story?,Q13: Who benefitted from what happened in the story?,Q19: Which of these relate to your story?,Q37: This story describes a...,,Storyteller ID
#NAME?,A SUCCESSFUL GIRL,Equity bank,,NAIROBI,Saw it happen,The right people,"Physical Needs,Respect,Freedom",Good idea that succeeded,,279
#NAME?,A SUCCESSFUL GIRL,Equity bank,,NAIROBI,Saw it happen,The right people,"Physical Needs,Respect,Freedom",Good idea that succeeded,,280
#NAME?,A SUCCESSFUL GIRL,Equity bank,,NAIROBI,Saw it happen,The right people,"Physical Needs,Respect,Freedom",Good idea that succeeded,,281
My name is Jane Ndiku.I am 19 yrs old and i happen to be working with equity bank as i wait to join university by the end of this year.I did finish my forum four last years and i passed with flying colours emerging tops in my district.Due to my sterling performance Equity came in and  have promised to pay my university fees.They have even offered me a chance to work at the bank where i have had the priviledge of getting skills in the banking world.I have also been able to raise money on my rain.I am really grateful for that kind of gesture.,Being granted scholarship,Equity bank,,busia,Was affected by what happened,The right people,"Food and shelter,Family and Friends,Physical Needs",Good idea that succeeded,,282
education is the driver to a better economy of a nation. litracy is a topic of concern today in kenya especially the rural areas where people do not take up the service with lots of seriousness and again he issue of school fees to poor but bright student. Due to this fact equity bank took an initiative to help by sponsoring the poor but bright students in the society by paying up their secondary and sometime university fees to cater for their education. Many students who lack school fees have benefited from the program and are doing quite well in their various school and disciplines,EDUCATION FOR ALL,EQUITY BANK,,KAKAMEGA SOUTH,Saw it happen,The right people,"Food and shelter,Family and Friends,Physical Needs",Good idea that succeeded,,283
my name is kelvin Ingaji. I am a student at jomo Kenyatta university for science  and technology pursuing bachelor of electrical and electronics engineering. I happen to pass my KCSE with flying colors which got me a scholarship from Equity bank. They have been  paying my university fee alongside those of others who did perform well in the same exam. Far from that they have offered me employment at the bank where I get to learn many things happening in the banking world just before I joined university. they have really changed my life a great deal and thus I am grateful for everything currently happening in my life,GETTING SPONSORSHIP,EQUITY BANK,,Kakamega,Was affected by what happened,The right people,"Food and shelter,Family and Friends,Physical Needs",Good idea that succeeded,,284
"Equity Bank in Kakamenga is a great inspiration to the cimmunity in as far as the development of the community is concerned. Relating alot to the students who may be poor but bright,Equity bank offers them one, scholarships to continue with their education and pursue their dreams. Equity also gives a chance for employment to the top students in the leading provincial schools with ""A"" for position 1 and 2 who work in the Bank for a period before they join university. This has helped the community in a big way.",A BOOST FOR THE BEST PERFORMERS,EQUITY BANK,,KAKAMENGA,Saw it happen,The right people,"Knowledge,Respect,Self-esteem",Good idea that succeeded,,285
Lucille Kato is my name. I finished my KCSE exams a way ago and i managed to be the best in my province after the results had been announced. I was really happy since many good things happened in my life then. Equity bank contacted me and they offered to pay my university school fees and also offered me a chance to work at their company just before i would join University. I was happy for the same. They went ahead to do so and currently i am at University of Nairobi pursuing bachelor of Electrical and Electronic Engineering. This is really nice for me as they are catering for everything in the name of my upkeep.,EQUITY BANK FOUNDATION,EQUITY BANK,,KAKAMEGA,Was affected by what happened,The right people,"Physical Needs,Knowledge,Self-esteem",Good idea that succeeded,,286
"my name is laban. i completed my high school two years back and fortunately emerged the best student in my district. after the results were out i was contacted by equity bank who congratulated me and told me that i had secured a scholarship in their foundation. sometime later, they offered me employment opportunity and i was really happy for their offer. i worked there while earning some income at the end of the month before i had joined university. now i am at University of Nairobi studying medicine and they are catering for me financially and in many different ways. i am actually very happy for the same.",SUPPORTING ME WITH UNIVERSITY FEES,EQUITY BANK,,KAKAMEGA,Was affected by what happened,The right people,"Family and Friends,Physical Needs,Knowledge",Good idea that succeeded,,287
"my name is ian ombogo. i am undertaking Civil engineering at jomo kenyatta university of science and technology. i happened to be a beneficiary of equity bank foundation aimed at sponsoring bright students all along the university. my brilliiant performance earned me this priviledge and all through my fees, shopping and pocket money, all has been catered for by equity bank.  furthermore they've allowed me to work at their company when i break for the holidays. i thank equity bank for not only influencing my life but also the life of many other students.",EQUITY BANK FOUNDATION,EQUITY BANK,,KAKAMEGA,Was affected by what happened,The right people,"Family and Friends,Physical Needs,Knowledge",Good idea that succeeded,,288
"equity bank scholarship foundation, an initiative started by equity bank to help students who had passed very highly in their KCSE exams in university fee payment has been a positive move to many. the initiative has motivated many to work hard steering competition among students hence improving the quality of education. the students, boy and girl, that top each district are selected and equity bank caters for their university education providing both fees, pocket money, shopping and some other needs. the students are also given a chance to work at equity bank before they join their university education. there they are able to earn some income which sustains them. this is really encouraging for the whole country.",EQUITY BANK FOUNDATION,EQUITY BANK,,KAKAMEGA,Saw it happen,The right people,"Family and Friends,Physical Needs,Knowledge",Good idea that succeeded,,289
"The Equity bank,has come up and helped  lives of many vulnerable people from my community it is  been paying for them their secondary and university education fees.Most of these children comes from poor family back ground and some have been affected by HIV/AIDS  parndemic,which has really affected finnancial status of their families. Now most of these children have forgotten the pain which they have been going through but their forcus is now how their can bring up their family in their future lives.Many are now hoping for a bright future",wings to fly,Equity bank,,Siaya,Saw it happen,The right people,"Food and shelter,Security,Knowledge",Good idea that succeeded,,290
Its in 2007 and at that time a  news came to me that  i had been chosen by Equity bank to receive sponsorship as  a best student in the KCSE exams in my Busia district The news was received  by parents as a news of hope  a news that at last received my hopes of  ever stepping in the doors of  university and the lecture halls after a long dry of finances in my family after my parents retired in i was in form one Besides the the sponsorship the group even gave me a job that helped me  put something on the table for my parents  and as a matter of fact my live has and will never be the same again,THE SPONSORSHIP,EQUITY BANK,"receive, news, job, live, hope",BUSIA,Was affected by what happened,The right people,"Security,Family and Friends,Physical Needs",Good idea that succeeded,,291
I am Rose i thank God for equity for paying my school fees when i was in St. Mary's High School and now through.I performed well got an A of which they took me again and gave me a job with them.I am with them for sometime as i wait to join University next year but still they will be suporting me.,fee payment,Equity bank,,kakamega,Was affected by what happened,The right people,"Knowledge,Respect,Self-esteem",Good idea that succeeded,,292
"Equity bank started a program to help bright poor students in Kenya by offering them direct employment after clearing high school. Apart from from this, the students also receive training on banking and are allowed to work in their company before and after joining University. At the college, they are provided for in terms of food and accomodation and the bank caters for them",Scholarships to students,EQUITY BANK,,KENYA,Heard about it happening,The right people,,Good idea that succeeded,,293
"Equity bank started a program to help bright poor students in Kenya by offering them direct employment after clearing high school. Apart from from this, the students also receive training on banking and are allowed to work in their company before and after joining University. At the college, they are provided for in terms of food and accomodation and the bank caters for them",Scholarships to students,EQUITY BANK,,KENYA,Heard about it happening,The right people,,Good idea that succeeded,,294
"Equity bank started a program to help bright poor students in Kenya by offering them direct employment after clearing high school. Apart from from this, the students also receive training on banking and are allowed to work in their company before and after joining University. At the college, they are provided for in terms of food and accomodation and the bank caters for them",Scholarships to students,EQUITY BANK,,KENYA,Heard about it happening,The right people,,Good idea that succeeded,,295
Zachary had every reason to consider himself the luckiest boy in the district. He had just been offered a temporary job by Equity Bank for attaining a straight 'A' in his K.C.S.E. The bank ha promised to assist needy children who performed well in school by giving them temporary employment to enable them raise the college or university fees. Zachary would not only pay his university fees but would also assist his father pay his siblings' school fees.,THE LUCKY BOY,EQUITY BANK,,THIKA,Was affected by what happened,The right people,"Food and shelter,Security,Freedom",Good idea that succeeded,,296
"Since free primary education was introduced in Kenya most of the needy children are very few in the community. This is because as they reach in class eight, most of the organization and business companies even individuals sponsor them for this high school learning. This has improved our community and even has improved education in the country. Here is one of the students who pass their form four and now is being sponsored by Equity bank for her University.",Education improvement,Equity bank,,NAIROBI,Saw it happen,Mixed,"Security,Physical Needs,Freedom",Good idea that worked somewhat,,297
Iam a Kenyan citizen. A boy aged 24 years old. I went to Friends school Kamusinga where i sat for my KSCE exams and got grade A. Equity Bank often held motivation talks in our school to inspire us to work hard. The manager promised a scholarship to the best student and a job for one year before the student who achieved the target got to the university. i wished to join Oxford university for medicine and surgery. My dream was to become Kenyan's best nuero-surgeon since I wanted to help and serve as many suffering Kenyan's as i could. I performed very well in my exams and qualified for the job opportunity granted before i went to university. I saved enough money to pay my sister's school fees in secondary school. I also qualified to get the scholarship to Oxford university since i was the best in my district. Iam now a fourth year student of medicine in Oxford.Iam very grateful that i have been able to develop my career. When i finish my studies i will support the bright and needy students in my community. I will work hard in my academics to get the best experience to help treat people in my country Kenya to ensure the citizens are healthy and working.,A DREAM COME TRUE,EQUITY BANK,,Nairobi-capital,Was affected by what happened,The right people,"Physical Needs,Creativity",Good idea that succeeded,,298
I finished my class 8 last year and i was luck to be among those who were taken by Equity through scholarship to join secondary that i never imagined will ever join in life. The Equity bank is really supporting many children who orphans and needy in life.We are many of us who have been supported by this bank to pursue over Education.I am now in St.Mary's Mumias in form one and am focused to go up to the University God keeping me alive.,Giving back to the society through scholarship,Equity Bank,,Kakamega,Was affected by what happened,The right people,"Family and Friends,Knowledge,Creativity",Good idea that succeeded,,299
"Equity has been very fair to all kenyas. It has promised many candidate that if they score four hundred marks, they will provide them school fees for the secondary school and the university. In the slum of kibera, they have helped many pupils. In our village there was a boy who scored four hundred and twenty four marks. When they heard about that they came took him to a good school. The boy passed his exam and he thanked God for what they did. I pray to God to help them to continue with the good work they are doing.",Knowledge is power,EQUITY BANK,,NAIROBI,Heard about it happening,The right people,"Knowledge,Creativity,Fun",Good idea that succeeded,,300
"Equity bank believes  that one way to help more people exploit   their business potential is to empower them with financial   education and enterpreneurship training. as part of it's corporate,   social responcibility, the bank has organised partnership with the   mastercard foundation and rolled out financial literacy training   country wide. This programme trains business owner. The   programme attracts more business stakeholders and moreso   University students who will in turn train business owners at the   local levels, the students carry out the training as part of their   university course requirements for the community outreach service.",FINANCIAL EDUCATION,EQUITY BANK FOUNDATION,,LAMU,Heard about it happening,The right people,"Physical Needs,Self-esteem,Fun",Good idea that worked somewhat,,301
"Mary Kiarie is learning at Yale University Oversees, courtesy of equity bank, she emerged to be the best student (girl) in a district and that is how she got this university.",ACDEMIC GIANTESS,EQUITY BANK GROUP FOUNDATION,,NYERI,Saw it happen,The right people,"Physical Needs,Self-esteem,Fun",Good idea that worked somewhat,,302
John Kimani is a  beneficiar of the Equity bank University   sponsorship. He was lucky to get the sponsorship as it was   based on the top boy and girl in the districts. Right now he   studies at Harvardand has a second semester.,UNIVERSITY SCOLAR,EQUITY BANK GROUP ORGANISATION,,MERU,Saw it happen,The right people,"Physical Needs,Self-esteem,Fun",Good idea that succeeded,,303
Equity group and card foundation are a great source of respirstion in connection to their pre-university sponsorship and high school scholaships they offer as away of giving back to the society As we all know education is a dream of any kenyan child as well as tyheir constitutional night.Despite 0this many have from receiving this precious commodity due to  financial consructs. As they say miracles do happen.It finally did when Equity group foundation started  0ffering 0pportunities to performing students without means to finally attain their dream of completing education and thus offering them wings to fly to their future ambitions. These realatioships which are nomally applied for forum district levels have thus left a mark engroved in the lives of many whose life will forever be transformed for the better. This simple gesture of giving boda to the society has also enabled many who had one lost lost hope of the future to revise them and eventuary realize their childhood dreams,Giving the monogornised wings to fly,Equity bank Limited and mothercord foundation,,Kakamega Central,Was affected by what happened,The right people,"Knowledge,Creativity,Self-esteem",Good idea that succeeded,,304
Equity bank of kenya has done much good to kenyan students by offering sponsorship to the top kcse exams top student especially those who cant manage to raise university fees. This has led to many students having education ispite of the fact that they do not have money. The student are fast given job opportinuty in order to raise capital for their family. Later before this student had to stope learning and even others making a decision of having sex with rich men in order to raise money for school fees.,help from equity bank,equity bank of kenya,,every province,Saw it happen,The right people,"Food and shelter,Security,Family and Friends",Good idea that succeeded,,305
"Jacklyne finished her KCPE last year and despite of her good results, school fees was a problem. However she got a reason to smile after Equity Bank offered her with a sponsorship that will cater for her school fees till university. She is now a form one student at a national school in Nairobi",My helpers,Equity Bank-Wings to fly,,Siaya,Saw it happen,The right people,"Family and Friends,Physical Needs,Knowledge",Good idea that worked somewhat,,306
I am Ruth. I did my K.C.S.E last year(2011) and was lucky to pass with flying colours. It was a joyous moment to my parents and a big relief after they had struggled so much for my education despite having not much. It is through that that big donors have been opened. I was selected to be part of the Equity bank Mastercard Foundation scholarship programme. They've decided to sponsor my university education and am really happy.,Scholarship programme,Equity bank/Mastercard Foundation,,Busia,Was affected by what happened,The right people,"Respect,Self-esteem,Freedom",Good idea that succeeded,,307
My name is Elvis. I did my KCSE 2011 last year and was lucky to get a straight 'A'. To add on that I became the best in my county and threw that I was lucky to be picked by the Mastercard foundation and Equity bank scholarship programme. We were many pupils including those from extremely poor areas and had managed to pass highly. It is through the programme that we were guaranteed full scholarships in the university period. I am very happy.,Scholarship programme,Equity bank/Mastercard foundation,,KAKAMEGA,Was affected by what happened,The right people,"Respect,Self-esteem,Freedom",Good idea that succeeded,,308
"Equity bank and mastercard foundation have launched onto something great in this new society. They've set up a programme that sees good performing students get sponsorship in their further education. Over some months ago, those who did well in K.C.S.E were picked and are now being sponsored  in their various schools. To add on that, those who performed well in K.C.S.E were also incorporated but theirs was much greater. They were given chance of working at the Equity bank as they waited to join university which they'd be sponsored fully. It is such a positive move",Scholarship programme,Equity bank/mastercard foundation,,KAKAMEGA,Saw it happen,The right people,"Respect,Self-esteem,Freedom",Good idea that succeeded,,309
"Residence of Northern Kenya, most of them are not financially stable & the infrastructure of those areas. schools in those areas i.e. primary and secondary schools are made of cow dugs and also those are not best of standards. Many students in primary level are studying in clear grounds where the sun rays are heating students that is because the schools in  these areas are not well furnished. Now many non-governmental organisations projects has started many initiative to make sure that this students who are facing difficult situations and thus thse NGO and partly the government has started to contribute greatly in improving the living standards of these region now are getting at least the best education. Facilities and these students are doing exploits in their communities and most of them are performing better than the way the usedto. According to the random analysis how a good percentage which is at least recommendable is that they are joining the best and recognised university in Kenya that is of Government contribution such as Equity bank, constituency,CDF & non-governmental organisation especially by help of united nation",EMPOWERING THE NORTHERN PART OF KENYA,EQUITY BANK& THE GOVERNMENT (MINISTRY OF EDUCATION),,samburu,Saw it happen,The right people,"Family and Friends,Physical Needs,Creativity",Good idea that succeeded,,310
"When the Equity Bank offered to sponsor the top four students in every District, so long as they could not afford the fees for Higher Education. I was lucky enough to be among the top four students who were offered scholarships by the Equity Bank through the Equity Foundation to study at the university and im grateful for this once in a lifetime opportunity. I will always be grateful to the Equity Bank for giving me this opportunity to see that I accomplish my dream of becoming a medical surgeon. And maybe one day I&#8217;ll be able to give back to the Equity Bank for helping me realize my dreams.",In Pursuit for a Higher Education,Equity Foundation,"scholarships, pursuit, higher, university, students",KAKAMEGA,Saw it happen,The right people,"Food and shelter,Security,Family and Friends",Good idea that succeeded,,311
"Poverty has for so long made many who were very clever to be either very poor or brain washed and thus ending up in even drug. Equity foundation came up with a programme to ensure that the top students in both K.C.P.E  and K.C.S.E examination had an upper hand in making a better life. They choose from  the poorest family who would not afford to make it university or secondary thus offering them ""ways to fly"" towards success.",WINGS TO FLY,EQUITY FOUNDATION,,NAIROBI,Saw it happen,The right people,"Knowledge,Creativity,Freedom",Good idea that succeeded,,312
Equity bank or rather foundations has been of great help to me especially when I finished form four. I had got an A(plain) but the problem ahead was about my survival and upkeep at the university even though I had vowed to myself that I will still go to university no matter what happened.         That year equity group began sponsoring top 2 students in the district and I was one of them and woow things just changed all over sudden and today its no more struggles just because of equity bank.,THE SPONSORSHIP,Equity Group,,BUSIA,Was affected by what happened,The right people,"Physical Needs,Knowledge,Self-esteem",Good idea that succeeded,,313
Up to this year many pupils are learning up to university by the help of sponsers.pupil who have been perfoming in academic are sponcered by equity bank.many pupils have get a chance to go to school to get knowlegde.Equity bank has been supporting poor children in the country.Since this project started children has been thankful to this project.It started in small number but know it has grown big. Equity has continued supporting the children.It is also a bank that support in loans.It lent many people loans.Many people have benefit from this project.,EQUITY ORGANIZATION,EQUITY PROJECT,,Langatta,Saw it happen,The right people,"Food and shelter,Family and Friends,Knowledge",Good idea that succeeded,,314
"I am Mark. My brother Tony finished his K.C.S.E exams last year and happened to scoop an 'A', to the happiness and jubilation of our family. A week after that joyous mood he got a call by Equity bank and we were happy to learn that he had been selected by Equity Bank/Mastercard foundation scholarship programme. This means they are going to sponsor him fully through his entire university education. Plus he was able to get a job by Equity bank to be working over that period he had not yet joined university.",Scholarship,Equitybank/ Mastercard foundation,,KAKAMEGA,Saw it happen,The right people,"Respect,Self-esteem,Freedom",Good idea that succeeded,,315
"I am Truphena. I finished form four last year and happened to get an A-. Lucky enough, I was able to be picked by Equity bank and Mastercard scholarship foundation and was included in their annual sponsorship programme. They also gave me a job at Equity bank for the period before I join university. I'm very happy for the move and feel more motivated than ever. Thanks to the programme.",Scholarship,Equitybank/Mastercard foundation,,Rift valley,Was affected by what happened,The right people,"Respect,Self-esteem,Freedom",Good idea that succeeded,,316
"the parent have been complaining for lack of university tertiary institutions and parents dig deep in their pockets to cater for transport,boarding fees for their children to study very far from their homes.currently their is an organizaton coming up with an initiative for cheap and affordable to the community. they are urging the parents to come up with a resource centre with computers and this organise with network with the resource centre and be connected with the universities to other parts of the world and the children wil access training through ICT. the parents are willing but the lack coordination to come up with this initiative.some of the parents are doughting the initiative  but those with ICT knowledge  they sat that the initiative is possible.the community is calling for other well wishers to contribute towards the fulfillment of this initiative.if this initiative is completely installed it will reduce the cost of education and the youths will access trainings in different aspects and fully updated on the information worldwide.",THE VILLAGE UNIVERSITY,FACE OF KENYA,"aspects, different, information, training, access",BUSIA,Helped make it happen,The right people,"Family and Friends,Physical Needs,Creativity",Good idea that failed,,317
"Sometime back one of the lecturers at kyambogo university wanted the council to change on the way buildings and other structure are constructed.This aimed at promoting intergration and inclusion of the students with disabilities in education and other social economic experts.     He pounded out that tall building needed ramps,and other structures like toilets needed to be shout of favour those without limbs and campass should also be short to favour those without limbs and other pointed out that ATM machines,circuits around compass should also be shorter to favour every one who needs it.",Intergretion and inclusion of PRODS(people with disabilities in high institution of learning,facility of special needs of kyambogo university,"disabilities, inclusion, special, needs, social",Kampala,Saw it happen,The right people,"Security,Self-esteem,Freedom",Good idea that succeeded,,318
Facilitation for peace and developement (FAPAD) this is an organisation found in Kira district.  it helped to give me school fees to study my degree course in education at Kyambogo university this organisation also builds houses to poor people in northern Uganda areas.,Facilitation for developement,FAPAD,,WAKISO,Was affected by what happened,The right people,"Food and shelter,Security,Physical Needs",Good idea that succeeded,,319
"FARGE is an organisation which was porpusely formed to look after ophans who are studing.This organisation have helped ophans who are in schools by giving them books,by giving them freed education,giving them books,pens,brankets,matresses and all whatever they need.It has also helped those who lost their parents that are nolonger in schools to back and study for free such that they prepare for their feature.Since this organisation started ophans have managed to study up to the university like other students.Therefore FARGE have done important job in the country of Rwanda.",HELPING,FARGE PROJECT,"students, back, need, schools, study",KIGALI,Saw it happen,The right people,"Security,Self-esteem,Freedom",Good idea that succeeded,,320
"FARGE is an organisation which was porpusely formed to look after orphans who are studying. This organisation has helped orphans who are in schools by gin=ving them free education, giving them books, pens ,brankets, matress and all whatever they need. It also helped those who lost their parents who are no longer in schols to back and study for free so that they prepare for their feature. Since this organisation started orphans have been able to study up to the universitylike other students .Therefor FARGE have done important job in the country of Rwanda",HELPING,FARGE PROJECT,"rwanda, prepare, orphans, country, able",KIGALI,Saw it happen,The right people,"Knowledge,Creativity,Self-esteem",Good idea that succeeded,,321
Father Kizito is a gentle man He has helped many to acquire knowledge and persue education in many ways. Lucy had no one to help her after his parent died due to HIV/AIDS.He was living with arelative. Thanks father Kizito has really changed her life by paying her fees in primary secondary now she is joining next month Nairobi University for medical. Father Kizito have brighten is star and life,Eye opener for poor,Father Kizito,,Nairobi,Saw it happen,The right people,"Food and shelter,Knowledge,Respect",Good idea that succeeded,,322
"Phillip Okumu I came from lake site region in Nyanza province am a fisherman, that my work ,  i finished my education upto form 4, but due to lack of finance, i wouldn't continue education going to university. I wanted to be a lawyer, life is so tough in the area. A friend of mine introduced me to a society group called Faulu Kenya. I'm so grateful the society took as on learning workshops alot business management and offered as grants to start small business, for me i channeled the cash to my fishing business to boost me. Currently I have another small fishing boat and have employed two people, may encouraged people to join such societies.",FRESH START,FAULU KENYA,,KISUMU,Helped make it happen,The right people,"Food and shelter,Family and Friends,Physical Needs",Good idea that succeeded,,323
"FBO'S has worked with partners to raise the standards of education and assited children from poor families access secondary, tertiary and university education.It has constructed schools infrastructure to improve the learning and teaching environment hence promoting educational standards of the country.During 2010 it constructed 28 schools in more the three districts Masaka incrussive some of school built in Masaka include good sherphend primary school in lukerere village.",Educating people,FBO's,"partners, primary school, teaching, learning, education children",Masaka,Saw it happen,The right people,"Security,Knowledge,Self-esteem",Good idea that succeeded,,324
Responsibility sounds like a small thing but it entails big things.Responsibility takes a lot than people think it defines.Rosy is a nineteen year old girl who felt a victim of the men who call themselves romantic and impregnated her.She thought this man will take the responsibility and help her.This man turned away from her and never wanted to hear anything from Rosy.Rosy got awake and went to FEDER Kenya and he was told to be taking 200 shillings everyday for the child's support.,ROSY'S TRAP,FEDER KENYA,,NAIROBI,Saw it happen,The right people,"Security,Creativity,Self-esteem",Bad idea that failed,,325
Ladies are really violated on and at least nowadays because it was worse long ago when there were no movements for women and ladies. But these movements have really taken ladies too far and seen them now having a voice and they have now turned against men knowing that they have movements like feder standing for them. You will find them mistreating the men nowadays because if men may lay their hands on them they would have them in court.    This has not been agood idea for me though it has seen women violation reduced women have gone so far into fighting men physically and expecting that men are not going to fight .     But asuggest that men have to got there movement that should stand for them as women with their movements should be taught on self control and respect.,OPEN  A WAY FOR MEN,FEDER KENYA,"voice, respect, stand, men, far",NAIROBI,Saw it happen,The right people,"Physical Needs,Knowledge,Creativity",Bad idea that worked despite itself,,326
Responsibility sounds like a small thing but it entails big things. Responsibility takes alot than people think it defines. Responsible people are countable not as many think they are responsible yet they are not.   Rosy is a nineteen year old girl who felt avictim of these men who call themselves romantic and impregnated him. After the pregnancy she thought this man would help her in the responsibilities necessary. This man turned against Rosy and he even threatened to kill her if she would tell him anything.   Rosy got awake and decided to go to feder Kenya and report this arrogant man and this man was charged and told that everyday he is suppose to bring two hundred shillings for support of his kid.,CAUGHT IN RESPONSIBILITY,FEDER KENYA,"responsibility, report, kid, responsible, girl",NAIROBI,Saw it happen,The right people,"Physical Needs,Knowledge,Creativity",Good idea that worked somewhat,,327
Feed his lamb it has done to helped the poor childrens through provides education from nursery up to university. And then after their courses they provides capital to them,Assisting the needy,Feed his lamb,,Kampala,Saw it happen,The right people,"Knowledge,Self-esteem,Fun",Good idea that succeeded,,328
Most of the organisation are verry important in our lifestyle. Exampel of organisation is feed the child project. There is a certain time when i had pass my K.C.P.E and i didnnt have some one to pay me my secondary school but by good luck womens of faith came and helped me in my situation. They paid my school fees took me to a boarding schhol. They promised to take me even to the university after finishing my secondary school.,Womens of faith,feed the child,,Nairobi,Helped make it happen,Nobody,"Family and Friends,Physical Needs,Knowledge",Good idea that succeeded,,329
"In Kibera south, parent were playing a big role for their children to survive and go to school. most of their parents are bank rupt even to manage fifty shillings for food is too difficult to get.Most of the children were not going to school and even eating.They were just eating supper at midnight only. However us an organisation of feed the children from Austrulia,came most people who were happy were children and parents. The organization was for food and sponsouring orphans,that was the big role that the feed the children did and they are still doing that .Feed the children had made many people to join the colleage, university and secondary.others are now doing jobs/ they are employed",FEED THE CHILDREN,FEED THE CHILDREN,,Nairobi,Saw it happen,The right people,"Physical Needs,Respect,Freedom",Good idea that succeeded,,330
"Ladies are really violated on and at least nowadays because it was  worse long ago when there were no movements for women and ladies.But these movements have really taken ladies too far and seen them now having voice and they have now turn against men knowing that they have movements like FEDER standing for them.You will find them mistreating the men nowadays because if men may lay their hands on them they would have them in court.             This has not been a good idea for men though it has seen women violation reduced,women have gone so far in fighting men physically and expecting that men are not going to fight back.               But a suggestion that men have got there movement that should stand for them as women with their movement should be taught on self control and respect.",WOMEN ARE TOO MUCH,FIDER KENYA,"voice, respect, stand, men, far",NAIROBI,Saw it happen,The right people,"Security,Physical Needs,Knowledge",Bad idea that failed,,331
"Diana my aunt introduced our family to certain organization which had an objective to educating those who were not able to meet the cost. As a family our reaction to this opportunity was very drastic. The organization gave us conditions in order to implement our need of educating our family members. We were asked to give  our passports, birth certificate and the name of our church. After implementing all these conditions, after a certain while the later came from Finland which all had one message of educating those who applied up to university level. Our joy was uncontrollable we thanked God for the opportunity. Diana told us that money( school fees) will not take long before it is send to the school of which we are going to.Six of my cousins were taken to a private school which had a  better standard of education than the  current institution. all this turned into a disappointment because after six months their  school fees had not been payed this was extremely horrible.",THE OPPORTUNITY WHICH TURNED TO A PROBLEM,Finish child international,,KISUMU,Was affected by what happened,Nobody,"Food and shelter,Family and Friends,Freedom",Good idea that failed,,332
The environment is so important and it entails life everywhere without noticing one might play around with tree and water the way they feel and like.But for these who know how important the environment is do not play with it.                FOH is a foundation that plant trees in streets and around Nairobi to  ensure that the nice good environment is stable and maintainable.FOH now it has seen a number of trees planted and they are also fighting to plant trees around Ngong forest and to avoid deforestation in this forest.But they go through a lot of challenges during this activity but they have never lost hope even without the support of the government.,BIG DREAMS,FOH,"way, environment, seen, ensure, play",NAIROBI,Heard about it happening,Nobody,"Security,Physical Needs,Knowledge",Bad idea that failed,,333
Foundation of hope youth group is the only youth group that  l can clearly say that sticks to its set objects.It strictly ensures that in any thing they do they do it for the  benefit of the group.  It is their  perserverencethat they have servuved in the lndustry despite its money flactuations.,F.O.H,FOUNDATION OF HOPE,,NAIROBI,Unknown,Mixed,Security,Good idea that succeeded,,334
"Racheael a 24 year aged girl was helped to complete her secondary and university studies by fowode. Fowode stands for Forum For Women In Democracy and it's an oranisation that help women get status. Rachael lost her parents during her primary seven vacation and she lost hope for schooling again but FOWODE came in and supported her, she is now done off with university studies having a degree in Environmental Science. Big up to Fowode.",FOWODE Supports The Girl Child,FOWODE,,Mbaraka,Saw it happen,The right people,"Physical Needs,Knowledge,Self-esteem",Good idea that succeeded,,335
Friends of environment club of Gulu University led the community members of Gulu town to plant trees within the town intending to conserve and preserve environment and also beautify the town.,Conserving environment,Friands of Environment,,Gulu,Helped make it happen,The right people,"Knowledge,Creativity,Freedom",Good idea that succeeded,,336
Friends are for each other and you even know they say a friend in need is a friend in need is the one in deed. Ramsey was a drug user for a long time. It happened that a friend ouko who was not soo close to him liked him secretly and was not happy seeing him in the company of drugs.    He was looking for a way to get him influence and yes he found it. He started by taking him for parties and slowly they got to be great friends. Then when ouko realized that Ramsey could not afford losing him he told him if you don't stop drugs its over between me and you.,Friends change,Friends,,Nairobi,Saw it happen,The right people,"Food and shelter,Security,Knowledge",Good idea that worked somewhat,,337
NCHILDRENot even an  angel  can do what this woman did and is cintinuing to do. She is collecting ophern and giving them new home. This woman is now old and she says that  that she was inpired by mother Teresa. she is currently catering for twelve kids kids who are now  growing up though not wealthy  healthy they are growing well. The amazing thing about this kids is that they are growing up knowing that there mother is this old woman  and everyone of them is calling  the woman  mum.This shouts are all over  whenever you go to this place to pay a visit.But it never seems like the woman is worried  about anything  that may come later in life or questions that these kids might ask in future  about their parents.,CHILDREN'S HOPE,FRUITFUL,"questions, amazing, ask, kids, place",NAIROBI,Heard about it happening,The right people,Security,Good idea that worked somewhat,,338
"Many children in our village where i come from,could not see the door of a classroom.They had a quench of drinking knowledge of which was brought by the westernes(education)They happened to got help of an organization which could pay for their school fees.It actually helped those children to persue their education up to university level. The level of illiteresy in our village reduced because they were people who could know how to read and right and also people who came upp with good ideas to develop the community.This organization helped around 100 children to persue their education",Education,G.O.T-KABOK WIDOWS AND ORPHANS WOMEN GROUP,"classroom, door, come, education, community",Homa Bay,Saw it happen,The right people,"Knowledge,Creativity,Fun",Good idea that succeeded,,339
